data,ano,mes,regiao,bioma,focos_observados
2025-02-04,2025,2,Sudeste,Mata Atlântica,168
2025-02-04,2025,2,Sul,Mata Atlântica,108
2025-02-04,2025,2,Sul,Pampa,80
2025-02-04,2025,2,Centro-Oeste,Pantanal,4
2025-02-05,2025,2,Centro-Oeste,Amazônia,12
2025-02-05,2025,2,Nordeste,Amazônia,25
2025-02-05,2025,2,Norte,Amazônia,177
2025-02-05,2025,2,Nordeste,Caatinga,318
2025-02-05,2025,2,Sudeste,Caatinga,1
2025-02-05,2025,2,Centro-Oeste,Cerrado,16
2025-02-05,2025,2,Nordeste,Cerrado,352
2025-02-05,2025,2,Norte,Cerrado,87
2025-02-05,2025,2,Sudeste,Cerrado,120
2025-02-05,2025,2,Centro-Oeste,Mata Atlântica,2
2025-02-05,2025,2,Nordeste,Mata Atlântica,93
2025-02-05,2025,2,Sudeste,Mata Atlântica,208
2025-02-05,2025,2,Sul,Mata Atlântica,56
2025-02-05,2025,2,Sul,Pampa,115
2025-02-05,2025,2,Centro-Oeste,Pantanal,3
2025-02-06,2025,2,Centro-Oeste,Amazônia,8
2025-02-06,2025,2,Nordeste,Amazônia,16
2025-02-06,2025,2,Norte,Amazônia,130
2025-02-06,2025,2,Nordeste,Caatinga,117
2025-02-06,2025,2,Sudeste,Caatinga,2
2025-02-06,2025,2,Centro-Oeste,Cerrado,101
2025-02-06,2025,2,Nordeste,Cerrado,313
2025-02-06,2025,2,Norte,Cerrado,169
2025-02-06,2025,2,Sudeste,Cerrado,155
2025-02-06,2025,2,Nordeste,Mata Atlântica,23
2025-02-06,2025,2,Sudeste,Mata Atlântica,137
2025-02-06,2025,2,Sul,Mata Atlântica,14
